V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
Os01g0217000	258.376646159385	370.870287199829	312.290153302309	343.46819788039	448.526282365443	289.867721201638	289.671800552449	340.129662680588	285.570056995168	387.857902700608	318.927819250238	313.505022991567	313.728602710092	324.445352124626	282.909649586179	583.9519001667	444.312790022372	364.599119311913
Os01g0232500	290.57678894792	359.433017354691	442.662313818712	552.851527835464	441.714924755142	402.821580213341	357.299523608193	416.781480606571	398.878861048036	422.282868920122	546.884525315625	433.853595242032	320.951560251546	508.191700145704	353.44893667376	525.721017062506	495.527622928501	572.04444707676
Os01g0234800	127.190640605853	176.454712985876	124.837496267321	180.117864754397	155.583894176655	170.533734848606	110.31118993415	135.416321656464	116.52339812359	162.224166178139	150.320651982057	122.77414854758	131.265384860338	160.393779348514	180.113776539956	216.131788309566	256.94473671939	226.429749837955
Os01g0262401	0	0	0	56.0195115377357	36.7457653868213	42.4062173622009	0	0	0	37.6643801302607	48.4057985047384	49.0705231064364	0	0	0	30.8323111076518	40.1279077809378	39.1466930021466
Os01g0276900	11.0727544468166	27.4781298323541	36.7063115992592	28.5849791150915	20.4958488081058	52.7179965189655	5.73523799172627	22.7265261076139	41.9447458391764	14.4845422565022	23.3959437802253	48.3648915509753	10.9825840337464	36.9730411624517	46.4744077708163	36.5428145319347	60.3535090648479	116.573076506041
Os01g0306400	73.8987864575709	30.8172168122008	56.576295445862	223.977230914322	47.5344800043347	97.4493013490421	65.1052537896899	10.9133350231325	16.4172222113671	116.943788015801	27.1800198891323	49.4896826359565	78.0500112222275	37.5971729333961	49.6689685553552	134.248792947035	41.2536187176231	52.0371152939193
Os01g0309800	38.1659293629885	275.624045098973	261.826334090142	272.569423075899	237.503535509909	310.717650479428	87.891832624167	301.326324196375	211.991695005877	240.050180410135	246.416936802946	289.245372922644	82.5503510340417	432.907514543991	255.478161520753	287.911060193507	247.458411435992	268.118167918443
Os01g0313300	54.0019063347217	180.307584935373	112.143905246036	175.53966650962	103.675732308953	64.6256056760677	76.5053787239082	76.9846691638628	116.017025914983	137.111216807361	147.415570105822	84.8460110098326	79.895299521865	130.423543171942	102.9521714799	251.334960569835	191.901714032199	171.220765097564
Os01g0511000	438.866889760613	928.240538814886	1111.50507857912	1124.49099769952	833.633467064151	432.274954189144	508.439460039272	1086.81757592741	1427.15827318212	1137.06111776225	1408.33773308227	651.264428334768	632.141209430665	952.82281709887	1011.31260889883	1061.39376731306	1113.65065968183	921.01250338408
Os01g0533900	130.545694484255	92.0454617851523	166.555516981456	393.16874558979	347.81769894711	546.175308052125	205.597397091023	191.236808951317	155.201686425526	675.967933270138	337.411398432334	517.443070881612	141.469401605409	177.69544751762	158.98294146609	283.083270421463	263.677674756652	188.744928023987
Os01g0546400	60.1172503313814	56.7177969819103	90.4944529463851	146.183060019344	147.116944124733	95.0751575201931	62.0506384988184	55.2283129620808	93.7802552829595	106.794073296186	82.6405730844846	94.4742985267249	53.1639980767374	102.841210051365	66.0638972049354	166.828432257679	159.847557647037	92.9699441023404
Os01g0587150	33.6723823318732	40.0493853209674	94.6594870743209	108.63142189864	52.4903704383208	49.8529841333699	27.2875473108689	40.2402271977389	31.621204186179	42.0007746467292	50.0994481317829	69.786513672597	35.4652288654052	79.6905680495811	54.3508933860055	121.452893574566	78.062808648531	138.298739359327
Os01g0597600	3.98278878045998	8.11760438075252	20.0829791894526	4.14579524285795	7.84584418518965	9.89100411613276	2.01771769512375	14.6083164500385	67.1961408933389	134.32341870313	59.0847424807739	17.326712799265	7.04206362829636	6.68923894605599	36.0423274383617	51.6996472002855	7.03072637973178	19.2323789770673
Os01g0600900	12435.8206038249	16758.1680452766	11895.1156371834	23129.6197776118	25566.4228989792	20077.8907104601	11924.149091513	16909.2877770445	10091.8659900463	15583.7508476795	26413.4569363698	18840.2310681387	12922.8359959646	16955.2566695738	10470.2370997574	26942.0922246445	29279.558481237	22238.5921484345
Os01g0603300	640.663912164547	1198.15017588567	824.160095034698	1684.74718258934	1242.21279371522	768.624870207682	533.672450612231	1592.25536704488	1135.98126037964	1292.3486308879	1495.89093468915	691.83465007443	705.821152770283	1868.743375079	1109.07248350009	3048.07176733671	1968.83877391124	995.898901093164
Os01g0609300	199.101023004291	257.417221011117	609.687327298992	353.045081495692	234.859143988942	362.906409984931	243.010305942134	710.92413849644	1828.8244469716	1378.69083024591	481.891988863009	743.069266614001	156.749944430757	378.054894716978	1238.44133412434	252.490156186689	163.073440201551	317.196452602278
Os01g0626350	0	0	55.6266539448675	0	0	49.278559292639	0	0	0	30.5277977229583	0	0	0	28.2917104873583	0	31.7645802108072	58.2691872508542	0
