baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight
Os01g0693400	745.172907334679	0.590865527471262	0.178467870468056	3.31076695161788	0.00093040659963958	0.0321248852912499	1.63099577867261
Os01g0695100	3934.85339429496	-0.800668615128049	0.219238575021473	-3.65204259811317	0.000260162715057615	0.0104735460007955	2.23225597618304
Os01g0695150	2678.18477959792	-0.756234308424746	0.209516199980716	-3.60943119670149	0.00030686915103777	0.010458164666832	2.64442409702577
Os01g0699100	121.591652862945	-0.811208098801955	0.216087300083113	-3.75407577627164	0.000173982229443456	0.0271410635471872	0.391269255012807
Os01g0699600	63.6615912145745	1.72476351169573	0.43485342205881	3.96631008106099	7.29938878995848e-05	0.00739148268950408	1.01309166190385
Os01g0704300	282.416622896024	0.941000448039252	0.211622657536253	4.4465959316197	8.72417166587071e-06	0.000706801106906421	2.28349262014454
Os01g0719100	1276.10174451413	0.607902134246806	0.149839174582354	4.05703071937768	4.97005470039604e-05	0.00313570010050297	1.99813037520914
Os01g0720500	5756.38197090618	0.881477292869692	0.216491319409986	4.07165190397484	4.66809043960142e-05	0.00278609817609284	2.17807809220891
Os01g0733200	115.778143918245	1.38137197627952	0.283104261892617	4.87937541824603	1.06422321245754e-06	0.000327083308796205	0.692606008513783
Os01g0739500	1088.09034169771	1.08914513161522	0.253224151406732	4.30111079675736	1.699440554505e-05	0.00134047685839305	1.99813037520914
Os01g0743800	140.158013553467	1.35827323906601	0.206477965027955	6.57829632756267	4.7586913492251e-11	4.50017944131831e-08	0.692606008513783
Os01g0747300	555.859354779519	0.896843740309579	0.199511963210299	4.49518778663035	6.95085771809778e-06	0.00092147404360613	1.29754370384622
Os01g0754800	1200.01322292443	1.16277125953041	0.30823820365485	3.77231389796324	0.000161740596952078	0.00914191639641622	1.68318038829918
Os01g0771000	502.495129430788	-0.886306843978632	0.199534125325727	-4.44188101925819	8.91758684959335e-06	0.00092742358443695	1.64568999184298
Os01g0775100	1151.29532395076	-0.767603310958611	0.223736176253971	-3.43084128731724	0.000601712537433256	0.0211473227097489	1.99813037520914
Os01g0775400	780.538694257447	1.00096220310548	0.308091197895014	3.24891528853924	0.00115845971537746	0.036258249657255	1.65127946106027
Os01g0781600	94.537908189745	-1.09244515084349	0.311640055295611	-3.50547091838767	0.000455800293459097	0.0273797118599529	1.0063479701655
Os01g0816100	106.375818163409	1.77009142740464	0.357708858333219	4.94841373415399	7.48207374889248e-07	0.000314047821165028	0.516842763717121
Os01g0822800	581.913246531522	1.12000198844441	0.195020313329442	5.74300168697006	9.30127999223435e-09	2.35263179052085e-06	1.68318038829918
Os01g0823100	1162.02517914812	-0.759111666302772	0.177533590289714	-4.27587627256335	1.90386943719972e-05	0.00167736281895704	1.68318038829918
Os01g0825500	122.117277097737	1.3375714165392	0.214445519797371	6.23734838481618	4.45050100168163e-10	5.61456328677513e-07	0.391269255012807
Os01g0834900	101.022747132222	1.45839917231871	0.308151057493472	4.73274109192243	2.21507959887521e-06	0.000772326586995113	0.516842763717121
Os01g0837000	292.303930569615	0.616111185183235	0.18430072317388	3.34296672619109	0.000828878380107713	0.0294009652736221	1.64568999184298
Os01g0847700	357.041242605639	-0.637906668336915	0.188697357075827	-3.38058083177379	0.000723327960542068	0.0219033262117183	2.27222783471531
Os01g0852800	24.0173451734239	8.04044121267443	1.23402364417317	6.51562978605788	7.23853043647767e-11	1.65936909425907e-07	0.248501017664121
Os01g0855200	255.492959368589	0.809543423622431	0.225049182960348	3.59718445974127	0.000321680366470582	0.0171713973414234	1.43602280405446
Os01g0858900	1554.62887477127	0.923321735944672	0.126120735023891	7.32093525913696	2.46248627672414e-13	1.15430343027795e-10	2.20176916511122
Os01g0868000	145.098219857893	1.6110463236328	0.329466711227435	4.88986070134617	1.00907359613961e-06	0.000513668461072074	0.391269255012807
Os01g0869750	24.0173451734239	8.04044121267443	1.23402364417317	6.51562978605788	7.23853043647767e-11	1.65936909425907e-07	0.247347577385069
